,time,flux
13998,1732.173323912045,625.1596
13999,1732.1747128035715,631.74225
14000,1732.1761016950986,632.02155
14001,1732.1774905866264,619.9593
14002,1732.178879478154,620.2598
14003,1732.180268369682,623.3937
14004,1732.181657261211,616.88947
14005,1732.1830461527413,611.26654
14006,1732.1844350442723,602.2313
14007,1732.185823935804,582.85034
14008,1732.1872128273358,573.76013
14009,1732.1886017188676,539.8642
14010,1732.1899906104009,507.5691
14011,1732.191379501934,475.00644
14012,1732.1927683934682,450.33945
14013,1732.1941572850033,423.42258
14014,1732.1955461765378,429.16782
14015,1732.1969350680731,430.55408
14016,1732.1983239596107,420.61996
14017,1732.199712851149,410.08942
14018,1732.2011017426867,418.48666
14019,1732.202490634225,428.14084
14020,1732.2038795257633,424.21826
14021,1732.2052684173027,440.65472
14022,1732.2066573088425,437.8582
14023,1732.208046200384,446.26147
14024,1732.209435091926,457.38138
14025,1732.2108239834688,461.59476
14026,1732.212212875011,502.44107
14027,1732.2136017665534,532.631
14028,1732.2149906580971,546.02637
14029,1732.2163795496417,553.91376
14030,1732.2177684411868,566.67786
14031,1732.219157332733,579.1705
14032,1732.220546224279,585.7391
14033,1732.2219351158258,604.01715
14034,1732.2233240073738,606.03284
14035,1732.2247128989216,609.8168
14036,1732.2261017904702,606.85913
14037,1732.2274906820198,612.84235
14038,1732.2288795735699,604.5996
14039,1732.23026846512,619.32465
14040,1732.2316573566702,604.25433
14041,1732.2330462482225,610.869
14042,1732.2344351397755,600.8225
14043,1732.2358240313292,607.5592
14044,1732.237212922883,616.23315
14045,1732.2386018144364,618.5796
14046,1732.2399907059907,612.8607
14047,1732.2413795975458,607.2728
14048,1732.242768489102,607.2127
14049,1732.2441573806589,610.54065
14050,1732.2455462722157,603.6632
14051,1732.2469351637737,602.77155
14052,1732.2483240553324,617.37885
14053,1732.2497129468916,617.9415
14054,1732.2511018384512,608.4426
14055,1732.2524907300112,607.6662
14056,1732.2538796215729,609.6897
14057,1732.2552685131336,605.89343
14058,1732.2566574046953,603.8002
14059,1732.2580462962583,606.4005
14060,1732.2594351878224,597.9889
14061,1732.2608240793866,598.4816
14062,1732.2622129709512,597.7541
14063,1732.2636018625155,601.8994
14064,1732.2649907540804,591.712
14065,1732.2663796456475,596.26575
14066,1732.2677685372144,593.44574
14067,1732.2691574287821,590.512
14068,1732.2705463203506,586.8499
14069,1732.2719352119195,591.99005
14070,1732.2733241034884,574.14343
14071,1732.274712995059,571.576
14072,1732.2761018866295,572.673
14073,1732.2774907782011,575.2156
14074,1732.2788796697726,560.9558
14075,1732.2802685613449,565.98914
14076,1732.2816574529174,560.8331
14077,1732.2830463444918,544.46497
14078,1732.2844352360667,544.85876
14079,1732.2858241276417,550.99713
14080,1732.2872130192168,542.2457
14081,1732.2886019107934,545.8748
14082,1732.2899908023692,527.5989
14083,1732.2913796939463,541.2406
14084,1732.292768585524,535.6236
14085,1732.294157477103,535.2293
14086,1732.2955463686828,543.9806
14087,1732.2969352602636,522.39746
14088,1732.2983241518434,519.99786
14089,1732.2997130434233,516.0433
14090,1732.3011019350058,512.9753
14091,1732.3024908265877,499.54538
14092,1732.3038797181705,498.61447
14093,1732.3052686097544,504.10962
14094,1732.3066575013386,497.645
14095,1732.3080463929232,491.84442
14096,1732.3094352845087,502.4056
14097,1732.3108241760947,511.00113
14098,1732.3122130676813,508.77213
14099,1732.3136019592682,513.1603
14100,1732.3149908508558,524.52765
14101,1732.3163797424434,522.29956
14102,1732.3177686340327,522.82947
14103,1732.319157525623,530.6993
14104,1732.3205464172138,543.3636
14105,1732.3219353088048,544.0012
14106,1732.3233242003962,553.69946
14107,1732.3247130919874,545.4531
14108,1732.3261019835802,551.98456
14109,1732.3274908751735,563.6828
14110,1732.3288797667678,559.51105
14111,1732.330268658362,566.4192
14112,1732.3316575499578,574.03
14113,1732.3330464415537,587.5558
14114,1732.3344353331495,582.14056
14115,1732.335824224747,579.3326
14116,1732.3372131163444,592.1589
14117,1732.3386020079427,597.5949
14118,1732.3399908995416,584.06287
14119,1732.3413797911405,595.0991
14120,1732.3427686827406,600.27576
14121,1732.3441575743423,610.2493
14122,1732.3455464659432,611.749
14123,1732.3469353575454,619.56635
14124,1732.3483242491482,626.31335
14125,1732.3497131407503,635.4915
14126,1732.3511020323538,633.6279
14127,1732.3524909239582,635.053
14128,1732.3538798155632,634.39215
14129,1732.35526870717,642.88916
14130,1732.3566575987766,639.0633
14131,1732.358046490383,663.90826
14132,1732.3594353819901,665.3104
14133,1732.360824273598,667.68225
14134,1732.3622131652066,665.612
14135,1732.3636020568165,670.5124
14136,1732.364990948426,665.24554
14137,1732.366379840036,664.6075
14138,1732.3677687316474,662.75543
14139,1732.36915762326,662.5752
14140,1732.3705465148726,660.057
14141,1732.3719354064854,657.8352
14142,1732.3733242980995,656.63184
14143,1732.374713189713,658.1775
14144,1732.3761020813276,646.2135
14145,1732.3774909729427,651.85376
14146,1732.3788798645592,651.0739
14147,1732.3802687561763,639.50507
14148,1732.3816576477948,641.717
14149,1732.3830465394128,650.908
14150,1732.3844354310309,630.2286
14151,1732.3858243226493,632.6791
14152,1732.3872132142697,635.41296
14153,1732.3886021058902,626.0298
14154,1732.3899909975112,626.7155
14155,1732.3913798891338,624.3038
14156,1732.3927687807563,619.35345
14157,1732.3941576723785,611.0516
14158,1732.3955465640022,609.04724
14159,1732.3969354556264,597.314
14160,1732.3983243472512,561.2339
14161,1732.3997132388768,520.52466
14162,1732.401102130502,492.6874
14163,1732.4024910221283,465.2934
14164,1732.4038799137559,462.84085
14165,1732.4052688053844,451.27478
14166,1732.4066576970133,436.44046
14167,1732.408046588643,439.44894
14168,1732.409435480272,437.89197
14169,1732.410824371902,441.5648
14170,1732.4122132635325,449.89996
14171,1732.4136021551644,443.51645
14172,1732.4149910467968,446.26178
14173,1732.4163799384305,457.7391
14174,1732.4177688300638,465.48526
14175,1732.4191577216973,478.67078
14176,1732.4205466133324,484.6925
14177,1732.4219355049677,506.06946
14178,1732.4233243966037,542.97034
14179,1732.4247132882406,556.6842
14180,1732.4261021798775,566.3608
14181,1732.4274910715158,594.5311
14182,1732.428879963154,599.8358
14183,1732.4302688547934,597.17883
14184,1732.4316577464335,606.52893
14185,1732.4330466380736,613.86597
14186,1732.4344355297148,615.2528
14187,1732.4358244213556,622.8359
14188,1732.4372133129973,620.0062
14189,1732.4386022046401,614.2075
14190,1732.4399910962848,611.836
14191,1732.4413799879296,615.75116
14192,1732.4427688795743,612.9122
14193,1732.4441577712191,617.96216
14194,1732.4455466628647,623.602
14195,1732.4469355545107,614.06506
14196,1732.4483244461585,618.8954
14197,1732.4497133378063,622.86206
14198,1732.4511022294546,615.2248
14199,1732.4524911211038,616.37006
14200,1732.4538800127536,612.0909
14201,1732.4552689044042,621.0081
14202,1732.4566577960547,614.0155
14203,1732.4580466877069,625.11536
14204,1732.4594355793588,614.4075
14205,1732.4608244710114,611.2484
14206,1732.462213362664,619.89575
14207,1732.4636022543182,621.6099
14208,1732.4649911459737,620.6983
14209,1732.46638003763,605.98175
14210,1732.467768929286,606.43115
14211,1732.4691578209427,609.5353
14212,1732.4705467125993,600.25867
14213,1732.4719356042565,606.1334
14214,1732.4733244959152,593.1268
14215,1732.474713387574,599.0632
